timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
617109.0,0.98,-0.18,0.09,-0.61,2.2,1.1
617119.0,0.98,-0.18,0.11,-0.18,1.95,0.73
617129.0,0.96,-0.2,0.11,-0.06,2.2,1.22
617139.0,0.97,-0.19,0.1,-0.49,1.95,1.46
617149.0,0.96,-0.2,0.11,-0.43,2.38,1.28
617159.0,0.95,-0.19,0.09,-0.31,2.38,1.04
617169.0,0.96,-0.19,0.1,-0.31,2.44,0.73
617179.0,0.96,-0.19,0.11,-0.12,2.44,2.08
617189.0,0.95,-0.2,0.09,-0.79,2.2,1.59
617199.0,0.95,-0.18,0.12,-0.43,2.2,1.28
617209.0,0.96,-0.18,0.11,-0.43,2.08,1.46
617219.0,0.96,-0.18,0.1,-0.61,2.32,0.92
617229.0,0.96,-0.19,0.08,-0.55,1.95,1.34
617239.0,0.97,-0.19,0.1,-0.67,2.62,1.22
617249.0,0.95,-0.19,0.1,0.0,2.38,0.37
617259.0,0.97,-0.2,0.1,0.06,2.44,0.55
617269.0,0.95,-0.2,0.09,-0.06,1.83,0.31
617279.0,0.96,-0.19,0.1,0.0,2.32,0.55
617289.0,0.96,-0.19,0.09,-0.24,2.44,0.18
617299.0,0.96,-0.19,0.11,-0.73,2.44,0.12
617309.0,0.95,-0.2,0.12,0.12,1.77,0.67
617319.0,0.96,-0.18,0.1,-0.24,2.32,0.24
617329.0,0.95,-0.2,0.09,-0.43,2.2,0.12
617339.0,0.95,-0.19,0.12,-0.12,2.5,0.18
617349.0,0.95,-0.19,0.1,-0.55,2.69,0.49
617359.0,0.97,-0.19,0.1,-0.24,2.08,0.31
617369.0,0.94,-0.19,0.1,-0.49,2.32,-0.37
617379.0,0.96,-0.21,0.1,-0.24,2.08,0.06
617389.0,0.98,-0.19,0.11,-0.49,2.32,0.49
617399.0,0.95,-0.2,0.12,0.0,2.75,0.55
617409.0,0.97,-0.19,0.1,-0.18,2.32,0.31
617419.0,0.95,-0.2,0.1,-0.24,2.44,0.12
617429.0,0.95,-0.2,0.1,0.24,2.56,0.24
617439.0,0.96,-0.19,0.08,0.0,2.38,0.0
617449.0,0.97,-0.2,0.09,0.06,2.32,0.37
617459.0,0.96,-0.19,0.12,0.24,2.32,0.24
617469.0,0.95,-0.2,0.09,0.37,2.14,-0.06
617479.0,0.97,-0.2,0.1,-0.12,2.44,0.06
617489.0,0.95,-0.19,0.09,-0.06,2.2,0.55
617499.0,0.96,-0.18,0.09,0.49,2.26,0.0
617509.0,0.95,-0.2,0.09,0.12,2.32,-0.06
617519.0,0.95,-0.19,0.11,0.06,2.01,-0.18
617529.0,0.96,-0.2,0.1,0.18,2.69,0.31
617539.0,0.96,-0.2,0.1,0.24,2.26,0.0
617549.0,0.97,-0.16,0.1,-0.06,2.2,-0.06
617559.0,0.96,-0.18,0.11,-0.18,2.56,0.37
617569.0,0.97,-0.19,0.1,-0.18,2.26,0.37
617579.0,0.96,-0.17,0.1,-0.24,1.46,0.24
617589.0,0.96,-0.19,0.09,-0.55,1.95,0.37
617599.0,0.97,-0.18,0.09,-0.43,2.32,-0.12
617609.0,0.95,-0.2,0.11,-0.18,2.14,0.0
617619.0,0.96,-0.18,0.09,-0.37,2.08,0.43
617629.0,0.97,-0.18,0.11,-1.28,1.77,0.12
617639.0,0.96,-0.18,0.1,-1.16,2.08,0.24
617649.0,0.97,-0.19,0.09,-0.73,2.2,0.43
617659.0,0.96,-0.19,0.1,-0.73,2.01,0.92
617669.0,0.98,-0.18,0.09,-1.1,2.01,1.16
617679.0,0.95,-0.19,0.1,-1.28,2.26,1.16
617689.0,0.96,-0.2,0.09,-0.85,2.38,0.61
617699.0,0.96,-0.2,0.09,-1.1,2.44,0.61
617709.0,0.97,-0.19,0.09,-0.31,2.44,0.67
617719.0,0.97,-0.2,0.09,-0.67,2.81,0.61
617729.0,0.95,-0.21,0.11,-0.55,2.01,0.06
617739.0,0.97,-0.19,0.1,-0.55,2.5,0.67
617749.0,0.95,-0.19,0.09,-0.67,2.2,-0.31
617759.0,0.96,-0.2,0.11,-0.37,2.26,0.37
617769.0,0.96,-0.19,0.12,-0.49,2.32,0.12
617779.0,0.96,-0.21,0.1,-0.06,2.38,-0.12
617789.0,0.96,-0.2,0.09,-0.67,2.01,0.0
617799.0,0.97,-0.19,0.1,-0.55,2.32,0.24
617809.0,0.97,-0.18,0.11,-0.31,2.32,0.18
617819.0,0.96,-0.19,0.09,0.12,2.44,0.12
617829.0,0.96,-0.19,0.1,-0.06,2.62,-0.37
617839.0,0.96,-0.19,0.11,-0.79,2.62,-0.67
617849.0,0.97,-0.19,0.1,-0.24,2.38,-0.06
617859.0,0.96,-0.2,0.1,-0.31,2.32,0.12
617869.0,0.96,-0.19,0.09,-0.31,2.5,-0.31
617879.0,0.96,-0.18,0.1,-0.37,2.44,-0.61
617889.0,0.96,-0.19,0.11,0.06,2.2,-0.73
617899.0,0.96,-0.19,0.08,0.06,2.2,-0.12
617909.0,0.95,-0.2,0.12,-0.67,2.2,-0.49
617919.0,0.96,-0.19,0.11,-0.31,2.32,-0.12
617929.0,0.97,-0.18,0.09,-0.55,2.5,-0.18
617939.0,0.97,-0.19,0.1,-0.49,2.56,-0.06
617949.0,0.96,-0.19,0.1,-0.61,2.32,0.0
617959.0,0.95,-0.19,0.1,-0.49,2.2,0.12
617969.0,0.96,-0.18,0.1,-0.24,2.93,-0.06
617979.0,0.95,-0.2,0.09,-0.98,2.2,0.37
617989.0,0.97,-0.19,0.09,0.06,2.01,-0.18
617999.0,0.95,-0.19,0.09,-0.18,2.26,-0.12
618009.0,0.97,-0.18,0.09,0.0,2.38,-0.12
618019.0,0.98,-0.18,0.11,-0.24,2.26,-0.06
618029.0,0.97,-0.19,0.1,-0.12,2.26,-0.49
618039.0,0.96,-0.19,0.09,-0.37,2.56,0.24
618049.0,0.96,-0.18,0.11,-0.37,2.75,0.18
618059.0,0.97,-0.18,0.1,-0.55,2.38,0.06
618069.0,0.96,-0.19,0.12,-0.24,2.2,0.18
618079.0,0.96,-0.19,0.1,0.06,2.14,0.18
618089.0,0.97,-0.19,0.11,0.31,2.26,0.85
618099.0,0.96,-0.19,0.11,-0.37,2.44,0.31
618109.0,0.95,-0.19,0.08,-0.67,1.89,0.43
618119.0,0.96,-0.2,0.11,-0.18,2.44,0.31
618129.0,0.97,-0.19,0.1,-0.43,2.26,0.37
618139.0,0.96,-0.2,0.12,0.0,2.62,0.67
618149.0,0.96,-0.2,0.1,-0.49,2.2,0.0
618159.0,0.97,-0.18,0.09,-1.04,2.14,0.61
618169.0,0.96,-0.2,0.1,-0.49,2.5,0.18
618179.0,0.95,-0.19,0.1,-0.55,2.08,0.49
618189.0,0.95,-0.19,0.09,-0.49,2.01,-0.06
618199.0,0.95,-0.19,0.1,-0.31,2.26,0.37
618209.0,0.97,-0.19,0.1,-0.85,2.01,0.31
618219.0,0.96,-0.2,0.1,-0.18,2.38,0.61
618229.0,0.96,-0.19,0.11,-0.24,1.71,0.73
618239.0,0.96,-0.19,0.1,-0.37,2.44,0.49
618249.0,0.96,-0.2,0.09,-0.67,2.44,0.31
618259.0,0.97,-0.18,0.1,0.0,2.26,0.61
618269.0,0.96,-0.19,0.11,0.18,2.01,0.06
618279.0,0.95,-0.19,0.1,-0.18,1.89,0.98
618289.0,0.96,-0.18,0.1,-0.24,2.32,0.18
618299.0,0.96,-0.19,0.09,0.0,2.26,0.37
618309.0,0.97,-0.19,0.09,-0.61,2.44,1.04
618319.0,0.95,-0.2,0.11,0.06,1.95,0.37
618329.0,0.97,-0.2,0.09,-0.49,2.32,0.79
618339.0,0.96,-0.2,0.1,-0.24,2.2,0.43
618349.0,0.96,-0.2,0.1,-0.55,2.08,0.55
618359.0,0.99,-0.19,0.09,0.37,2.08,0.24
618369.0,0.98,-0.19,0.09,-0.18,2.08,0.73
618379.0,0.96,-0.19,0.09,-0.06,2.2,0.49
618389.0,0.98,-0.18,0.09,-0.61,2.2,0.31
618399.0,0.96,-0.2,0.11,-0.49,2.26,0.24
618409.0,0.96,-0.19,0.08,-0.31,2.08,0.67
618419.0,0.96,-0.19,0.1,-0.06,2.38,0.24
618429.0,0.97,-0.19,0.1,-0.06,2.32,0.49
618439.0,0.96,-0.19,0.09,0.18,2.26,0.67
618449.0,0.95,-0.18,0.1,-0.18,2.38,0.12
618459.0,0.96,-0.19,0.09,-0.18,2.01,0.18
618469.0,0.96,-0.19,0.1,-0.06,2.38,0.0
618479.0,0.96,-0.18,0.1,-0.43,2.38,0.43
618489.0,0.97,-0.2,0.1,0.06,1.95,0.18
618499.0,0.96,-0.19,0.1,-0.55,2.38,0.18
618509.0,0.97,-0.18,0.09,-0.24,2.26,0.06
618519.0,0.95,-0.2,0.1,-0.24,2.5,0.37
618529.0,0.96,-0.18,0.1,-0.31,2.5,0.73
618539.0,0.97,-0.18,0.1,-0.43,2.38,0.31
618549.0,0.95,-0.19,0.08,-0.92,1.89,0.37
618559.0,0.98,-0.18,0.09,-0.55,2.5,0.73
618569.0,0.96,-0.19,0.09,-0.61,2.38,0.43
618579.0,0.96,-0.2,0.09,-0.79,2.32,0.18
618589.0,0.95,-0.2,0.1,-0.79,2.14,0.61
618599.0,0.97,-0.19,0.1,-0.12,2.5,0.18
618609.0,0.96,-0.19,0.09,-0.79,2.2,0.49
618619.0,0.96,-0.19,0.1,-0.55,2.38,0.98
618629.0,0.96,-0.18,0.09,-0.92,2.14,0.37
