1039, -0.03, 0.98, 0.05, -0.37, 0.24, 0.06
4165, -0.03, 0.98, 0.05, -0.18, 0.24, -0.06
5176, -0.03, 0.98, 0.05, -0.12, -0.06, 0.18
6187, -0.03, 0.98, 0.05, -0.06, 0.37, 0.06
7198, -0.03, 0.98, 0.05, -0.43, 0.12, 0.12
8209, -0.03, 0.98, 0.05, -0.12, -0.06, 0.12
9220, -0.03, 0.98, 0.05, -0.12, -0.06, 0.18
10231, -0.03, 0.98, 0.05, -0.06, 0.00, 0.06
11244, -0.03, 0.98, 0.05, 0.06, -0.06, 0.12
12255, 0.25, 0.95, 0.05, -0.55, -0.24, 33.14
13266, 0.79, 0.59, 0.05, -0.24, 0.31, 18.92
14277, 1.03, 0.11, 0.06, -0.06, -0.31, 34.67
15288, 0.83, -0.54, 0.06, -0.06, -0.98, 33.87
16299, 0.22, -0.98, 0.06, -0.06, 0.12, 36.99
17311, -0.27, -0.98, 0.06, -0.06, 0.00, -1.89
18323, -0.44, -0.95, 0.05, 1.40, 2.20, 110.90
19334, -1.01, -0.02, 0.06, -0.37, 0.37, 51.82
20345, -0.50, 0.84, 0.05, -0.49, -0.12, 33.63
21357, -0.04, 0.97, 0.05, -0.24, 0.12, -4.46
22370, 0.07, 0.98, 0.05, -0.06, -0.55, 46.33
23381, 0.88, 0.49, 0.06, 0.55, 2.01, 57.01
24392, 0.91, -0.48, 0.06, -1.22, -0.98, 92.96
25403, -0.21, -0.99, 0.06, -0.79, 0.06, 84.35
26414, -0.33, -0.96, 0.06, -0.06, 0.12, -8.97
27425, -0.91, -0.25, 0.06, -0.67, 0.61, 81.91
28436, -0.68, 0.73, 0.04, -0.67, 0.31, 49.80
29447, -0.23, 0.97, 0.06, -0.79, -0.18, 62.07
30458, -0.12, 0.98, 0.05, -0.37, 0.00, -0.18
31469, -0.11, 0.98, 0.04, -0.18, 0.12, -0.06
32480, -0.11, 0.98, 0.05, -0.18, 0.00, -1.16
33493, -0.13, 0.97, 0.04, -0.12, 0.06, -0.12
34504, -0.13, 0.97, 0.04, -0.18, 0.31, -0.43
35515, -0.14, 0.97, 0.05, -0.18, 0.06, -0.12
